iter	Passed	Remaining
850	2215	257
851	2217	255
852	2219	252
853	2221	249
854	2224	247
855	2226	244
856	2229	241
857	2231	239
858	2233	236
859	2236	234
860	2239	231
861	2241	228
862	2243	226
863	2246	223
864	2248	220
865	2250	218
866	2253	215
867	2255	213
868	2257	210
869	2259	207
870	2261	205
871	2263	202
872	2265	199
873	2268	197
874	2271	194
875	2273	192
876	2275	189
877	2277	186
878	2280	184
879	2282	181
880	2285	178
881	2287	176
882	2290	173
883	2292	171
884	2294	168
885	2296	165
886	2299	163
887	2301	160
888	2304	158
889	2306	155
890	2308	152
891	2311	150
892	2313	147
893	2316	145
894	2319	142
895	2321	139
896	2323	137
897	2325	134
898	2327	132
899	2329	129
900	2332	126
901	2334	124
902	2336	121
903	2338	119
904	2340	116
905	2343	113
906	2345	111
907	2347	108
908	2349	105
909	2351	103
910	2354	100
911	2356	98
912	2358	95
913	2360	92
914	2362	90
915	2365	87
916	2367	85
917	2369	82
918	2371	79
919	2373	77
920	2376	74
921	2378	72
922	2380	69
923	2382	67
924	2385	64
925	2387	61
926	2389	59
927	2391	56
928	2394	54
929	2397	51
930	2399	48
931	2401	46
932	2404	43
933	2406	41
934	2408	38
935	2411	36
936	2414	33
937	2416	30
938	2419	28
939	2421	25
940	2423	23
941	2425	20
942	2428	18
943	2430	15
944	2432	12
945	2434	10
946	2437	7
947	2439	5
948	2441	2
949	2443	0
